candidate_id,Godzina rozpoczęcia,Godzina ukończenia,Adres e-mail,"Potwierdzam, że zapoznałem(-am) się z powyższymi informacjami i przyjmuję je do wiadomości.","Czy wyrażasz zgodę na przetwarzanie danych osobowych w zakresie adresu mailowego w celu realizacji projektu badawczego pt. ""XPM: eXplainable Predictive Maintenance"" i archiwizacji, zgodnie z Rozporządzeniem Parlamentu Europejskiego i Rady (UE) 2016/679 z dnia 27 kwietnia 2016 r. (ogólne  rozporządzenie o ochronie danych) oraz zgodnie z klauzulą informacyjną dołączoną do Twojej zgody?",Czy wyrażasz zgodę na udział w badaniu (ankietowym)?,Jak oceniasz swoją wiedzę na temat dziko rosnących grzybów jadalnych i trujących?,Po czym głównie poznaje się dziko rosnące grzyby jadalne?,Po czym głównie poznaje się dziko rosnące grzyby trujące lub niejadalne?,Skąd pochodzi Twoja wiedza o grzybach dziko rosnących? ,Czy zdarza Ci się zbierać grzyby dziko rosnące?,"Nie mam oporów, by:","Jakie są Twoje umiejętności w zakresie wizualizacji danych, np. tworzenia wykresów, infografik itd.? (Zaznacz maksymalnie dwie odpowiedzi).",Jak oceniasz swoje umiejętności w zakresie analizy danych?,Skąd masz umiejętności w zakresie wizualizacji danych?,Jakie cechy powinna mieć Twoim zdaniem dobrze zrobiona wizualizacja danych?,"Czy na podstawie wykresu jesteś w stanie określić cechy, które najczęściej pojawiają się po jego prawej stronie i sugerują silny wpływ na klasyfikację grzyba jako trującego? Odpowiedz i podaj te cechy.","Czy patrząc na poniższą wizualizację, jesteś w stanie stwierdzić, jakie zmiany w cechach, według analizy kontrfaktycznej, mają największy wpływ na zmianę klasyfikacji grzyba z trującego na jadalny lub odwrotnie? Odpowiedz, opisując te zmiany.","Podaj nazwę kierunku(-ów) studiów, na którym(-ych) studiujesz:","Czy wyrażasz zgodę na udział w testowaniu technik XAI? Później możesz się wycofać, jeśli zmienisz zdanie. Badania przeprowadzane będą od 19 grudnia 2023 r. do 25 lutego 2024 r. na WZiKS UJ, w Instytucie Studiów Informacyjnych UJ. Jeśli wyrazisz wstępną zgodę, poprosimy Cię o podanie kontaktowego adresu mailowego, na który prześlemy formularz z możliwością zapisu na konkretny termin badania i godzinę. Dla uczestników badań jakościowych przewidziane są upominki",participant_id,comment
68,1.28.24 19:43:11,1.28.24 19:46:49,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Średnio.,Nie wiem ,Po jaskrawych kolorach ,.,"Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;,Potrafię interpretować proste wizualizację.;Nie potrafię tworzyć wizualizacji.;,Nisko.,Nie mam takich umiejętności.;,Nie wiem ,Nie,Nie,Filologia hiszpańska ,Nie.,,
69,1.28.24 19:55:17,1.28.24 19:58:21,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Średnio.,po kupie ,po blaszkach hoho,od babuni,"Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię interpretować proste wizualizację.;Potrafię tworzyć proste wizualizacje.;,Wysoko.,Nie chcę udzielać odpowiedzi.;,powinna być czytelna ,nmoe,nie uimie ,pedofililigia xdddd,Tak.,,
70,1.29.24 9:08:21,1.29.24 10:09:35,anonymous,Potwierdzam.,Nie wyrażam zgody.,Tak.,Nisko.,"Kapelusz musi być nieuszkodzony, nierozpadający się ",Po białych cętkach na kapeluszu i intensywnym zapachu ,Od dziadka grzybiarza i chatu gpt,"Tak, rzadko.",Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Nisko.,Liceum;,być atrakcyjnie i przejrzyście przedstawiona,"Nie nie mogę ponieważ na wykresie nie ma danych o cechach występujących po prawej stronie, nie ma rozróżnienia na strony
","Według tego wykresu nie mogę stwierdzić, ponieważ ten wykres nie zawiera danych na temat takiej klasyfikacji, z własnego doświadczenia mogę powiedzieć że jedyną taką cechą jest zmiana powierzchni trzonu z gładkiej na błyszczącą ",Filologia hiszpańska ,Nie.,,
71,1.29.24 12:22:54,1.29.24 12:33:38,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nisko.,Pod kapeluszem pojawia się gąbka.,"Pod kapeluszem pojawia się harmonijka, chociaż np. kurka ma harmonijkę, a jest jadalna.","Czytam książki, poradniki, ale przeważnie chodzę zbierać grzyby z kimś kto posiada większą wiedzę niż ja.","Tak, często.","Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, które sam/sama zebrałam/em.;",Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Wysoko.,Studia;,Czytelna,"Wysokość trzonu cm 
Średnica kapelusza 
Szerokość trzonu
Zmienia kolor lub puszcza mleczko w reakcji na uszkodzenie...
Gęstość blaszek","Na pewno wysokość trzonu, im wyższy tym większe prawdopodobieństwo, że to trujący grzyb. ",Zarządzanie mediami i reklamą ,Nie.,,
72,1.29.24 17:30:24,1.29.24 17:50:06,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nie mam żadnej wiedzy na ten temat.,Po tym że znajdują się w atlasach które mówią jakie grzyby można a jakie nie można jeść,po białych kropkach na kapeluszach,Zajęć z biologii w szkole podstawowej,"Nie, nigdy.",Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię interpretować zaawansowane wizualizacje.;Potrafię tworzyć proste wizualizacje.;,Wysoko.,Studia;Praca;,Czytelna i zawierająca wszystkie najważniejsze informacje dla osób trzecich w zrozumiały sposób,Top 2 są najbardziej wpływowe na to czy grzyb jest trójący,Nie,Dziennikarstwo i Komunikacja Społeczna,Nie.,,
73,1.29.24 18:08:22,1.29.24 18:20:35,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Średnio.,"Po specyficznej piance pod kapeluszem, jednak niektóre też są trujące ",Blaszki pod kapeluszem,"Przekazana przez rodzinę, filmy na YouTube.","Nie, nigdy.","Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, które sam/sama zebrałam/em.;",Potrafię interpretować proste wizualizację.;Potrafię tworzyć proste wizualizacje.;,Średnio.,Technikum ;,"Wartościowość, przejrzystość ",Wykonuje ankietę na telefonie i jest ona dla mnie nieczytelna.,Nie,Zarządzanie informacja,Nie.,,
75,1.30.24 11:33:03,1.30.24 11:39:00,anonymous,Potwierdzam.,Nie wyrażam zgody.,Tak.,Nie mam żadnej wiedzy na ten temat.,Po rurkach (jadalne),"Po kapeluszu grzyba lub blaszkach, które wskazują że są to zazwyczaj grzyby niejadalne",Od taty,"Tak, rzadko.","Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, które sam/sama zebrałam/em.;",Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Średnio.,Studia;,Klarowne ,"Wysokość trzonu,",Nie,Zarządzanie w reklamie i mediach,Nie.,,
76,1.30.24 12:09:21,1.30.24 12:11:08,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Średnio.,Po grzybni,Po kolorze kapelusza,z książek,"Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię tworzyć proste wizualizacje.;,Średnio.,Praca;,"przejrzysta, kolorowa",nie,nie,zarządzanie mediami i reklamą,Tak.,,
77,1.30.24 13:52:45,1.30.24 14:00:30,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,"Nie mam pojęcia. Wiem jak wygląda prawdziwek, ale znając życie i tak bym się pomyliła i zebrała coś niejadalnego.",No jak jest czerwony i ma kropki to znaczy że jest niejadalny. ,Z wyjść na grzyby z rodziną,"Tak, rzadko.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Średnio.,Studia;,być dobrze czytelna i z dobrą legendą,nie,nie,zarządzanie mediami i reklamą,Nie.,,
79,1.30.24 16:53:34,1.30.24 17:12:53,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Wysoko.,po tym czy kapelusz ma gąbkę czy blaszki,po blaszkach,przekaz rodzinny,"Tak, często.","Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, które sam/sama zebrałam/em.;",Potrafię tworzyć zaawansowane wizualizacje.;Potrafię interpretować zaawansowane wizualizacje.;,Wysoko.,Studia;Praca;,"prosta i intuicyjna do interpretacji, a zarazem w pełni wyczerpująca temat",wysokość trzonu,nie,kognitywistyka,Nie.,,
80,1.30.24 18:02:34,1.30.24 18:15:44,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,Po tym że mają blaszki?????? ,Po tym że są muchomorem,Nie mam takiej wiedzy ,"Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Średnio.,Studia;,Kolory ,"Wysoki trzon
Cienki trzon
Mała lub średnia średnica kapelusza","Szeroki połyskliwy trzon, bez zasnowki?, ",Kognitywistyka ,Nie.,,
81,1.30.24 20:35:08,1.30.24 20:40:02,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Wysoko.,"Po kolorze, po tym czy sinieją przy dotknięciu, czy mają blaszki, czy zostawiają gorzki posmak na języku","Po kolorze, blaszkach, gorzkim posmaku na języku ",Od babci ,"Tak, rzadko.","Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, które sam/sama zebrałam/em.;Zjeść grzyby kupione w sklepie.;",Nie potrafię tworzyć wizualizacji.;,Średnio.,Nie mam takich umiejętności.;,"Jasna, przejrzysta, poukładana","Nie wiem, wysokość trzonu, średnica kapelusza, szerokość trzonu",sposób przyrastania blaszek do trzonu,"prawo, relacje miedzykulturowe",Nie.,,
85,1.30.24 21:37:09,1.30.24 21:48:14,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,"rozpoznałbym może pieczarkę i kurkę, ale wolę napisać że nie rozpoznaję grzybów w ogóle.","wygląda jak muchomor, ale wszystkie grzyby się powinno traktowac jako niejadalne, jesli nie jest się pewnym że jest jadalny.","Nie posiadam takiej wiedzy, poza ogólną w stylu - muchomor - nie jedz","Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować zaawansowane wizualizacje.;,Średnio.,Studia;lubię statystyki więc przy przeglądaniu raportów trochę się tego naooglądałem;,"czytelność, dobrze opisana legenda, brak niepotrzebnych udziwnień, dostosowana do targetu.","wysoki trzon, mała średnica trzonu, zmienia kolor i puszcza mleczko po uszkodzeniu.", ,"filmoznawstwo, zarządzanie kulturą i mediami.",Nie.,,
86,1.30.24 21:44:01,1.30.24 21:51:25,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Wysoko.,"W dużym uproszczeniu grzyby z gąbeczką bywają jadalne częściej niż te z blaszką. Można też wziąć grzyba na język i spróbować - gorzkie/cierpkie/szczypiące lepiej zostawić w lesie. Zbieram tylko te gatunki grzybów, które dobrze znam i nowe gatunki wolę poznawać pod opieką kogoś bardziej doświadczonego. ","Częściej miewają blaszki niż gąbeczki, zostawiają gorzki posmak na języku, czasem brzydko pachną. Profilaktycznie uznaję za takie wszystkie grzyby, których nie rozpoznaję. ","Mój dziadek był przez wiele lat leśniczym. Mieszkam w górach i zbieranie grzybów, jagód i innych darów lasu to u nas rodzinna tradycja. Dziadek i mama pokazali mi jadalne gatunki, które zbieram. ","Tak, często.","Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, które sam/sama zebrałam/em.;",Nie potrafię tworzyć wizualizacji.;Potrafię interpretować proste wizualizację.;,Średnio.,Nie mam takich umiejętności.;,powinna być czytelna i akceptowalna estetycznie,wysokość trzonu,nie,Filologia słowiańska,Nie.,,
87,1.30.24 21:57:54,1.30.24 22:08:57,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nie mam żadnej wiedzy na ten temat.,po wyglądzie,po smaku,nie mam za dużej ,"Tak, rzadko.","Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, które sam/sama zebrałam/em.;",Potrafię tworzyć proste wizualizacje.;Potrafię interpretować zaawansowane wizualizacje.;,Wysoko.,Nie chcę udzielać odpowiedzi.;,gęstość informacji i jej intuicyjne przyswojenie,wymiary grzyba,"grafika dla mnie niewystarczająco opisana, nie będę udawał, ale odpowiedź to ""cechy z gwiazdką""",kognitywistyka II stopień,Tak.,,
88,1.30.24 21:35:32,1.30.24 23:11:36,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,"Kolor, blak blaszek od spodu",Blaszki od spodu,Od rodziny i znajomych,"Tak, rzadko.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Nisko.,Studia;,"dobra baza danych (wiarygodnych), odpowiednia legenda, opracowanie właściwej metody wizualizacji do problematyki",Największe znaczenie ma wysokość trzonu grzyba w cm,Nie umiem odpowiedzieć na to pytanie,"Prawo, filologia francuska ",Nie.,,
89,1.30.24 23:43:07,1.30.24 23:54:56,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Wysoko.,"Często budowa hymenoforu pozwala na odsiew grzybów nietrujących od trujących, ale nie jest to zawsze pewnik. Można wymieniać wiele cech - obecność pochwy, zabarwienie po nacięciu, rodzaj lasu w którym rośnie.","Znowu można wymienić wiele cech, takich jak n.p obecność pochwy u muchomorowatych grzybów, zapach, czy barwę po nacięciu. Nie ma jednoznacznej cechy, która pozwala rozróżnić grzyb trujący od jadalnego.","Atlasy, internet, fora grzybowe.","Tak, często.","Zjeść grzyby, które sam/sama zebrałam/em.;",Potrafię interpretować zaawansowane wizualizacje.;,Wysoko.,Studia;Praca;,"czytelna, dużo danych hehe","pewnie ta, wysokość średnica",nie chce mi się ,sinologia,Tak.,,
90,1.31.24 9:52:43,1.31.24 10:07:03,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nisko.,Występowanie gąbki pod kapeluszem,Brak gąbki oraz kształt przypominający muchomora,Głównie z filmików na youtube,"Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Średnio.,Studia;,"Przejrzystość, schludny wygląd wizualizacji","Wysokość trzonu, średnica kapelusza, szerokość trzonu, zmienia kolor lub puszcza mleczko w reakcji na uszkodzenie nie zmienia koloru lub brak mleczka","Przyrośnięta blaszka do trzonu, szerokość trzonu, bulwiasta podstawa trzonu, błyszcząca powierzchnia trzonu, brak zasnówki",Informatyka Stosowana,Nie.,,
91,1.31.24 9:51:05,1.31.24 10:12:15,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Średnio.,"Przyjemny zapach, wiadomy gatunek","Gdzie rośnie, przyjemny zapach, pory, znajomy gatunek grzyba ","Specyficzne cechy kapelusza, koloru i kształtu kapelusza, blaszki, nieprzyjemny zapach","Tak, rzadko.",Zjeść grzyby kupione w sklepie.;,Potrafię interpretować proste wizualizację.;,Średnio.,Praca;Studia;,"klarowność i czytelność, reprezentacja danych, estetyczna","Tak, pierwsze trzy cechy ",Nie,Informatyka Stosowana,Nie.,,
92,1.31.24 10:09:11,1.31.24 10:24:48,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Średnio.,"Na spodzie kapelusza jest gąbka a nie blaszka (ale zdarzają się wyjątki, trzeba uważać)",Na spodzie kapelusza jest  blaszka,Chodziłam na grzyby z rodzicami/ rodzeństwem ,"Tak, rzadko.",Zjeść grzyby kupione w sklepie.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Średnio.,Studia;,"Czytelna, dobrze przeskalowana, dobrze opisana ","Wysoki trzon, mała, bądź średnia średnica kapelusza, mała średnica trzonu, zmiana koloru mleczka w relacji na uszkodzenie, nie zmienia koloru lub brak mleczka","Przyrośnięte blaszki do trzonu, duża szerokość trzonu, podstawa trzonu bulwiasta, powierzchnia trzonu błyszcząca, typ hymenoforu bez zasnówki ",Informatyka stosowana ,Nie.,,
93,1.31.24 11:11:18,1.31.24 11:17:43,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,Po miękkiej powierzchni na dolnej (wewnętrznej) stronie grzyba,Po chropowatej powierzchni na dolnej (wewnętrznej) stronie grzyba,z chodzenia na grzyby z osobami bardziej doświadczonymi,"Tak, rzadko.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Nie potrafię tworzyć wizualizacji.;Potrafię interpretować proste wizualizację.;,Nisko.,Studia;,"przejrzystość, dokładność","wysokość trzonu w cm, średnica kapelusza w cm, szerokość trzonu w mm","sposób przyrastania jako przyrośnięte, większa szerokość trzonu, podstawa trzonu bulwiasta, powierzchnia trzonu błyszcząca, typ hymenoforu bez sanówki",Kognitywistyka,Tak.,,
94,1.31.24 11:24:18,1.31.24 11:27:48,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nie mam żadnej wiedzy na ten temat.,Po tym że po ich zjedzeniu się nie umiera,Po zjedzeniu grzybow trujących człowiek się truje lub umiera,Nie mam wiedzy ,"Nie, nigdy.",Nie chcę udzielać odpowiedzi.;,Potrafię interpretować proste wizualizację.;Potrafię tworzyć proste wizualizacje.;,Nisko.,Kursy;Praca;,Być czytelna,Ma wysoki trzon ,Nie wiem ,Politologia,Nie.,,
95,1.31.24 11:18:41,1.31.24 11:28:27,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nie mam żadnej wiedzy na ten temat.,Nie wiem,"Nie wiem, jedyny znany mi trujący grzyb to muchomor. ",Nie mam takiej wiedzy,"Nie, nigdy.",Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby kupione w sklepie.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Nie umiem ocenić.,Studia;,"Na pewno powinna być czytelna, ciekawa dla oka oraz najprościej zrobiona","Wysokość-trzonu-cm w zakresie 0.5-ponad 1, średnica-kapelusza-cm to średni wpływ po prawej stronie 0.0-0.5, szerokość -trzonu-mm w zakresie 0.0 - około 0.20","te zmiany to przyrośnięte, 40.9, bulwiasty, błyszcząca i bez-zasnówki",Informatyk Stosowana,Nie.,,
96,1.31.24 10:53:30,1.31.24 11:45:45,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nisko.,kapelusz,blaszki pod kapeluszem,atlas grzybów,"Nie, nigdy.",Nie chcę udzielać odpowiedzi.;,Potrafię interpretować proste wizualizację.;Potrafię tworzyć proste wizualizacje.;,Nisko.,Nie mam takich umiejętności.;,czytelna,wysokość trzonu,nie jestem w stanie,Informatyka Stosowana,Tak.,,
97,1.31.24 10:32:18,1.31.24 11:53:09,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nisko.,"Głównie po braku blaszek pod kapeluszem (są wyjątki jak kurki), gdzie występuje ""gąbka""",Głównie po blaszkach pod kapeluszem ,Głównie za dzieciaka chodziłem z rodzicami zbierać grzyby do lasu,"Tak, rzadko.",Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię interpretować zaawansowane wizualizacje.;Potrafię tworzyć proste wizualizacje.;,Średnio.,Studia;,"Czytelna, zrozumiała","Wysoka wysokość trzonu, niższa średnica kapelusza, średnia szerokość trzonu, nie zmienia koloru lub brak mleczka, utraconą (missing) gęstość blaszek, trochę sposób przyrastania blaszek do trzonu: pory, przyrośnięte i wolne","Sposób przyrastania blaszek do trzonu, szerokość trzonu, podstawa trzonu i jej powierzchnia, typ hymenoforu, ",Informatyka stosowana,Nie.,,
98,1.31.24 12:09:55,1.31.24 12:16:41,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Wysoko.,"Kształt, kolor, blizny, struktura, zapach, sytuacja wzrostu, okres wzrostu.","Kształt, kolor, blizny, struktura, zapach, sytuacja wzrostu, reakcje na substancje chemiczne.",Od ojca,"Tak, rzadko.",Zjeść grzyby kupione w sklepie.;,Potrafię tworzyć zaawansowane wizualizacje.;Potrafię interpretować zaawansowane wizualizacje.;,Wysoko.,Kursy;Studia;," Zrozumiała, czytelna, celowa, estetyczna, interaktywna (jeśli konieczne), poprawna, dostosowywalna.",Nie w stanie,Nie w stanie,Informatyka Stosowana,Tak.,,
99,1.31.24 13:58:30,1.31.24 14:02:59,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,nie mają blaszki pod kapeluszem,mają blaszkę pod kapeluszem,"od babci, która mi opowiadała jak miałem 5 lat","Nie, nigdy.","Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, którymi częstuje mnie obca osoba.;",Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Wysoko.,Studia;,mieć czytelną legendę,niestety nie jestem w stanie,"wszystko, co występuje w kolumnie modified value?","chemia, informatyka stosowana",Nie.,,
100,1.31.24 13:58:43,1.31.24 14:18:25,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nisko.,"Pod spodem mają gąbkę, nie blaszkę","Mają blaszkę pod spodem, nie gąbkę","Od dziewczyny, która studiuje kierunek związany z biologią ","Nie, nigdy.",Zjeść grzyby kupione w sklepie.;,Nie potrafię tworzyć wizualizacji.;Nie potrafię interpretować wizualizacji.;,Nie mam żadnych umiejętności w tym zakresie.,Nie mam takich umiejętności.;,Powinna być czytelna,Najbardziej wysokość trzonu i szerokość trzonu,"Np jesli powierzchnia trzonu z gładkiej staje się błyszcząca, albo szerokość trzonu zwiększa się z 7.18 do 40.09",Informatyka Stosowana ,Nie.,,
102,1.31.24 16:47:56,1.31.24 17:09:25,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,Nie wiem,Nie wiem,"Raz, gdy miałem około 10 lat, pojechałem z rodzicami zbierać grzyby. Wtedy mój tata próbował przekazać mi swoją wiedzę o grzybach, niestety wiele z tego, co mi powiedział, już zapomniałem.","Tak, rzadko.",Zjeść grzyby kupione w sklepie.;,Potrafię tworzyć zaawansowane wizualizacje.;Potrafię interpretować zaawansowane wizualizacje.;,Średnio.,Kursy;,"Forma wizualizacji powinna być dostosowana do danych, wizualizacja powinna być czytelna, pozbawiona niepotrzebnych udziwnień.","Tak, wysokość trzonu w cm, średnica kapelusza w cm i szerokość tronu w mm",Nie,Informatyka stosowana,Nie.,,
103,1.31.24 17:09:02,1.31.24 17:22:37,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nisko.,"Niewiem, prawdpodobnie większa szansa ze te brazowe z małymi czapkami będa jadalne niż inne","Niewiem, prawdopodobnie te z wielkimi kapeluszami lub w czerwonym kolorze bedą trujące","Z bajek, z social mediów, od rodziny","Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Średnio.,Studia;,"Dane powinny być jasno przedstawione, powinny być postawione jakieś wnioski, interpretacja tych danych",Grzyby o szerszym i wyższym trzonie częściej klasyfikują się jako trujące,"Prawdopodobnie największy wpływ na klasyfikacje ma szerokość trzonu ponieważ jego wartość zmieniła się prawie 6-krotnie, również ma wpływ powierzchnia trzonu",Informatyka stosowana,Nie.,,
104,2.1.24 13:08:22,2.1.24 13:13:55,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,wygladaja spoko ,wygladaja dziwnie ,z wyobrazni ,"Nie, nigdy.","Zjeść grzyby, które sam/sama zebrałam/em.;Zjeść grzyby, którymi częstuje mnie obca osoba.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby kupione w sklepie.;",Potrafię tworzyć zaawansowane wizualizacje.;Potrafię interpretować zaawansowane wizualizacje.;,Zdecydowanie wysoko.,Studia;Kursy;Praca;,"czytelnosc , musi byc zrozumiala ","wysokosc trzonu, srednica,szerokosc",wyglada nie zbyt przyjemnie ale mozliwie jest zrozumiec o co chodzi,zarzadzanie ,Nie.,,
105,2.1.24 14:17:36,2.1.24 14:35:54,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Średnio.,"Kształt nóżki, kolor kapelusza, dół kapelusza - czy ma blaszki czy nie, kształt kapelusza - np czy falisty jak u rydza, czy kapelusz ma lepką skórkę - jak u maślaka. Czy puszcza jakiś sok albo mleczko po naruszeniu nóżki lub kapelusza.","Kolor kapelusza, kształt kapelusza, blaszki lub ich brak (np jak u grzyba który wyglada jak rydz, brak blaszek) kolor miąższu po przekrojeniu (borowik szatański robi się niebieski po przekrojeniu)","Od starszych członków rodzin, z atlasów grzybów, z internetu - googluje najważniejsze cechy danego grzyba by się upewnić czy się nie pomyliłam, patrze też na zdjęcia które pozwalają potwierdzic czy na pewno zebrałam odpowiedniego grzyba","Tak, często.","Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, które sam/sama zebrałam/em.;",Potrafię interpretować zaawansowane wizualizacje.;Potrafię tworzyć proste wizualizacje.;,Średnio.,Studia;Kursy;Praca;,"Łatwość odczytania danych, przyciągająca uwagę","Wydaje mi się że ta grafika pokazuje że grzyby trujące mają wyższy trzonek oraz mniejszą średnicę kapelusza, ale nie jestem pewna",Dana grafika nie pozwala na łatwe odczytanie danych ponieważ nie pisze który z tych grzybów jest jadalny a który trujący ale można to wywnioskować zakładając że original value to grzyb jadalny. Oprócz tego jest dość przejrzysta. Wiem jakich konkretnie cech szukać: sposób przyrastają blaszek (u grzybów jadalnych nie przyrastają a u niejadalnych są przyrośnięte) oraz powierzchnia trzonu (u jadalnych gładka a u niejadalnych błyszcząca),"FIC, Filologia Angielska",Tak.,,
